,Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit
33,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Denmark,12469.92,13127.28,5776.8,1992,2.9,6.59,6693.12
34,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,France,96009.15,114692.36,46306.58,17404,2.765,6.59,49702.57
35,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Germany,137602.28,169692.5,66847.97,25750,2.72,6.59,70754.31
36,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United Kingdom,11637.34,12250.81,5391.1,1859.0,2.9,6.59,6246.24
37,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Belgium,12843.9,13245.9,5829,2010,2.9,6.59,7014.9
38,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Switzerland,,,,,,,
39,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Austria,,,,,,,
40,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Italy,103089.33,131865.9,50526.78,20010,2.66857143,6.59,52562.55
41,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Spain,13036.14,13878.54,6107.4,2106,2.9,6.59,6928.74
42,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United States,340867.26,407123.61,164590.44,61779,2.7785,6.59,176276.82
43,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Canada,138986.22,171649.73,67560.23,26047,2.72,6.59,71425.99
44,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Mexico,20358.3,33964.86,10771.86,5154,2.09,6.59,9586.44
45,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Brazil,120190.31,156433.42,58980.88,23738,2.63,6.59,61209.43
46,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Japan,64370.58,81860.98,31495.9,12422,2.6975,6.59,32874.68
47,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Korea,74254.93,98184.41,36862.37,14899,2.63,6.59,37392.56
48,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,China,278106.13,348446.25,136239.21,52875,2.72,6.59,141866.92
49,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Singapore,17421.46,18728.78,8241.8,2842,2.9,6.59,9179.66
50,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Australia,,,,,,,
51,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Netherlands,96692.34,115918.1,46776.32,17590,2.765,6.59,49916.02
52,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Sweden,49298.46,63224.46,24049.62,9594,2.6975,6.59,25248.84
53,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Finland,78856.6,100537.04,38794.34,15256,2.6975,6.59,40062.26
54,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Denmark,30853.1,44093.69,15535.34,6691,2.495,6.59,15317.76
55,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,France,91818.01,121196.69,45272.78,18391,2.63,6.59,46545.23
56,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Germany,70482.18,74427.46,32752.6,11294,2.9,6.59,37729.58
57,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United Kingdom,168290.41,199446.35,80612.15,30265,2.77538462,6.59,87678.26
58,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Belgium,42871.8,56911.24,20957.14,8636,2.59625,6.59,21914.66
59,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Switzerland,,,,,,,
60,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Austria,36562.75,45022.88,17574.77,6832,2.6975,6.59,18987.98
61,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Italy,12875.2,13707.2,6032,2080,2.9,6.59,6843.2
62,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Spain,108368.09,127219.95,51868.89,19305,2.79875,6.59,56499.2
63,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,United States,,,,,,,
64,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Canada,38011.56,40337.39,17750.9,6121,2.9,6.59,20260.66
65,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Mexico,26152.75,27842.75,12252.5,4225,2.9,6.59,13900.25
66,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Brazil,,,,,,,
67,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Japan,13234.22,14089.42,6200.2,2138,2.9,6.59,7034.02
68,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Korea,,,,,,,
69,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,China,28198,30314,13340,4600,2.9,6.59,14858.0
70,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Singapore,,,,,,,
71,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Australia,,,,,,,
72,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Netherlands,,,,,,,
73,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Sweden,,,,,,,
74,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Finland,,,,,,,
75,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Denmark,,,,,,,
76,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,France,,,,,,,
77,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Germany,,,,,,,
78,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,United Kingdom,,,,,,,
79,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Belgium,5489.01,5660.81,2491.1,859,2.9,6.59,2997.91
80,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Switzerland,,,,,,,
81,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Austria,,,,,,,
82,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Italy,,,,,,,
83,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Spain,,,,,,,
84,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,United States,48205.04,68628.26,24392.09,10414,2.495,6.59,23812.95
85,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Canada,,,,,,,
86,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Mexico,,,,,,,
87,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Brazil,,,,,,,
88,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Japan,13884.17,14781.37,6504.7,2243,2.9,6.59,7379.47
89,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Korea,20909.43,22478.49,9891.9,3411,2.9,6.59,11017.53
90,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,China,,,,,,,
91,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Singapore,,,,,,,
92,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Australia,,,,,,,
93,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Netherlands,18592.65,31019.13,9837.63,4707,2.09,6.59,8755.02
94,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Sweden,,,,,,,
95,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Finland,,,,,,,
96,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Denmark,,,,,,,
97,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,France,42909.66,56726.72,21169.16,8608,2.63,6.59,21740.5
98,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Germany,,,,,,,
99,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,United Kingdom,,,,,,,
100,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Belgium,,,,,,,
101,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Switzerland,,,,,,,
102,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Austria,,,,,,,
103,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Italy,,,,,,,
104,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Spain,14010.65,23374.73,7413.23,3547,2.09,6.59,6597.42
105,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,United States,,,,,,,
106,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Canada,147265.42,168769.9,70010.02,25610,2.82636364,6.59,77255.4
107,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Mexico,,,,,,,
108,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Brazil,,,,,,,
109,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Japan,72181.72,91521.92,35412.77,13888,2.6975,6.59,36768.95
110,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Korea,,,,,,,
111,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,China,,,,,,,
112,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Singapore,,,,,,,
113,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Australia,,,,,,,
114,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Netherlands,15846.05,17035.15,7496.5,2585,2.9,6.59,8349.55
115,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Sweden,12807.11,13634.71,6000.1,2069,2.9,6.59,6807.01
116,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Finland,,,,,,,
117,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Denmark,,,,,,,
118,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,France,,,,,,,
119,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Germany,131629.64,188539.9,66575.41,28610,2.495,6.59,65054.23
120,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,United Kingdom,,,,,,,
121,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Belgium,,,,,,,
122,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Switzerland,,,,,,,
123,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Austria,,,,,,,
124,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Italy,57185.2,73445.55,27959.46,11145,2.6975,6.59,29225.74
125,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Spain,27749.54,39902.45,13998.74,6055,2.495,6.59,13750.8
126,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,United States,46745.73,50011.51,22008.1,7589,2.9,6.59,24737.63
127,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Canada,,,,,,,
128,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Mexico,,,,,,,
129,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Brazil,34051.1,36001.17,15842.7,5463,2.9,6.59,18208.4
130,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Japan,60048.26,76364.92,29283.85,11588,2.6975,6.59,30764.41
131,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Korea,,,,,,,
132,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,China,,,,,,,
133,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Singapore,97534.43,104853.49,46141.9,15911,2.9,6.59,51392.53
134,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Australia,,,,,,,
135,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Netherlands,,,,,,,
136,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Sweden,,,,,,,
137,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Finland,,,,,,,
138,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Denmark,,,,,,,
139,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,France,39388.15,41839.91,18412.1,6349,2.9,6.59,20976.05
140,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Germany,13525.15,14399.15,6336.5,2185,2.9,6.59,7188.65
141,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,United Kingdom,,,,,,,
142,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Belgium,,,,,,,
143,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Switzerland,,,,,,,
144,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Austria,,,,,,,
145,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Italy,,,,,,,
146,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Spain,,,,,,,
147,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United States,209592.06,235238.22,124283.88,18774,6.62,12.53,85308.18
148,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Canada,8489.36,12129.04,6408.16,968,6.62,12.53,2081.2
149,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Mexico,11962.28,17090.92,9029.68,1364,6.62,12.53,2932.6
150,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Brazil,7919.31,11314.59,5977.86,903,6.62,12.53,1941.45
151,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Japan,107959.17,124485.55,65769.7,9935,6.62,12.53,42189.47
152,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Korea,,,,,,,
153,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,China,46017.41,55219.71,29174.34,4407,6.62,12.53,16843.07
154,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Singapore,,,,,,,
155,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Australia,,,,,,,
156,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Netherlands,24432.93,25448.43,13445.22,2031,6.62,12.53,10987.71
157,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Sweden,,,,,,,
158,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Finland,27416.37,28555.87,15086.98,2279,6.62,12.53,12329.39
159,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Denmark,21677.06,26513.48,14007.92,2116,6.62,12.53,7669.14
160,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,France,47071.94,52951.78,27976.12,4226,6.62,12.53,19095.82
161,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Germany,,,,,,,
162,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United Kingdom,108403.69,123934.23,65478.42,9891,6.62,12.53,42925.27
163,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Belgium,,,,,,,
164,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Switzerland,,,,,,,
165,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Austria,11237.69,13269.27,7010.58,1059,6.62,12.53,4227.11
166,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Italy,,,,,,,
167,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Spain,,,,,,,
168,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,United States,58425.59,66045.63,34894.02,5271,6.62,12.53,23531.57
169,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Canada,,,,,,,
170,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Mexico,54227.67,58853.41,31094.14,4697,6.62,12.53,23133.53
171,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Brazil,,,,,,,
172,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Japan,,,,,,,
173,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Korea,79294.15,88273.85,46637.9,7045,6.62,12.53,32656.25
174,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,China,,,,,,,
175,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Singapore,77432.45,86820.37,45869.98,6929,6.62,12.53,31562.47
176,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Australia,,,,,,,
177,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Netherlands,,,,,,,
178,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Sweden,,,,,,,
179,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Finland,8721.75,9084.25,4799.5,725,6.62,12.53,3922.25
180,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Denmark,,,,,,,
181,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,France,42056.65,51936.85,27439.9,4145,6.62,12.53,14616.75
182,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Germany,36158.61,44218.37,23361.98,3529,6.62,12.53,12796.63
183,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,United Kingdom,,,,,,,
184,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Belgium,4860,5012,2648,400,6.62,12.53,2212.0
185,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Switzerland,,,,,,,
186,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Austria,,,,,,,
187,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Italy,56161.63,61610.01,32550.54,4917,6.62,12.53,23611.09
188,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Spain,,,,,,,
189,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United States,156644.47,176334.69,93163.26,14073,6.62,12.53,63481.21
190,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Canada,56887.08,59191.72,31272.88,4724,6.62,12.53,25614.2
191,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Mexico,6748.83,7029.33,3713.82,561,6.62,12.53,3035.01
192,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Brazil,47810.43,52613.47,27797.38,4199,6.62,12.53,20013.05
193,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Japan,40240.35,41912.85,22143.9,3345,6.62,12.53,18096.45
194,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Korea,50640.8,59479.91,31425.14,4747,6.62,12.53,19215.66
195,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,China,140445.34,156324.28,82591.12,12476,6.62,12.53,57854.22
196,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Singapore,22123.17,23042.67,12174.18,1839,6.62,12.53,9948.99
197,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Australia,,,,,,,
198,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Netherlands,56802.39,66446.59,35105.86,5303,6.62,12.53,21696.53
199,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Sweden,13076.61,13620.11,7195.94,1087,6.62,12.53,5880.67
200,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Finland,69089.27,77447.93,40918.22,6181,6.62,12.53,28171.05
201,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Denmark,6351.84,6615.84,3495.36,528,6.62,12.53,2856.48
202,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,France,60353.04,62800.36,33179.44,5012,6.62,12.53,27173.6
203,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Germany,50627.21,52776.36,27883.44,4212,6.62,12.53,22743.77
204,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United Kingdom,52519.3,57487.64,30372.56,4588,6.62,12.53,22146.74
205,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Belgium,25113.83,28405.51,15007.54,2267,6.62,12.53,10106.29
206,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Switzerland,,,,,,,
207,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Austria,38383.55,42163.45,22276.3,3365,6.62,12.53,16107.25
208,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Italy,7073.64,7367.64,3892.56,588,6.62,12.53,3181.08
209,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Spain,53777.57,59404.73,31385.42,4741,6.62,12.53,22392.15
210,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,United States,,,,,,,
211,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Canada,13557.81,14121.31,7460.74,1127,6.62,12.53,6097.07
212,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Mexico,12342.03,12793.13,6759.02,1021,6.62,12.53,5583.01
213,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Brazil,,,,,,,
214,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Japan,,,,,,,
215,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Korea,,,,,,,
216,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,China,,,,,,,
217,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Singapore,12909.44,18444.16,9744.64,1472,6.62,12.53,3164.8
218,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Australia,,,,,,,
219,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Netherlands,,,,,,,
220,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Sweden,,,,,,,
221,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Finland,,,,,,,
222,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Denmark,,,,,,,
223,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,France,,,,,,,
224,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Germany,,,,,,,
225,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,United Kingdom,,,,,,,
226,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Belgium,,,,,,,
227,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Switzerland,,,,,,,
228,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Austria,,,,,,,
229,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Italy,,,,,,,
230,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Spain,,,,,,,
231,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,United States,30439.81,36424.71,19244.34,2907,6.62,12.53,11195.47
232,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Canada,,,,,,,
233,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Mexico,,,,,,,
234,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Brazil,,,,,,,
235,2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Japan,,,,,,,
